Disaster Number,Title,Number of Requests,Declaration Request Number,Incident Type,Incident Begin Date (First),Incident Begin Date (Last),Declaration Date (First),Declaration Date (Last),Latitude,Longitude
857,"SEVERE STORMS, TORNAODES & FLOODING",38,90009,Severe Storm,1990-02-10,1990-02-10,1990-02-23,1990-02-23,33.101077563157894,-84.06581061888505
858,SEVERE STORMS & FLOODING,3,90010,Flood,1990-02-15,1990-02-15,1990-02-27,1990-02-27,36.4490647,-85.102171
859,"SEVERE STORMS, TORNADOES & FLOODING",35,90011,Severe Storm,1990-01-24,1990-01-24,1990-02-28,1990-02-28,32.29893292857143,-89.68596170285714
860,SEVERE ICE STORM,10,90012,Severe Ice Storm,1990-02-14,1990-02-14,1990-03-06,1990-03-06,40.1458648,-88.35618072999999
861,"SEVERE STORMS, TORNADOES & FLOODING",33,90013,Severe Storm,1990-03-15,1990-03-15,1990-03-21,1990-03-21,32.13597555151515,-86.55326483030304
862,SEVERE STORMS & FLOODING,11,90014,Flood,1990-03-16,1990-03-16,1990-04-03,1990-04-03,30.539314754545455,-86.00277429090909
863,"SEVERE STORMS, TORNADOES & FLOODING",64,90016,Severe Storm,1990-04-15,1990-04-15,1990-05-02,1990-05-02,32.25267299609375,-97.46590788957334
865,SEVERE STORMS & FLOODING,37,90017,Flood,1990-05-01,1990-05-01,1990-05-15,1990-05-15,34.85350430810811,-92.79080249729729
866,"SEVERE STORMS, TORNADOES & FLOODING",39,90018,Severe Storm,1990-04-14,1990-04-14,1990-05-18,1990-05-18,35.6586631,-95.82098780581518
867,SEVERE STORMS & FLOODING,10,90020,Flood,1990-05-15,1990-05-15,1990-05-24,1990-05-24,38.40980526,-93.00785647000001
868,SEVERE STORMS & FLOODING,39,90021,Flood,1990-05-18,1990-05-18,1990-05-26,1990-05-26,41.798742121794874,-92.80786508904377
869,"SEVERE STORMS, TORNADOES & FLOODING",30,90023,Severe Storm,1990-05-15,1990-05-15,1990-06-04,1990-06-04,39.34507264333333,-86.37063306
870,"SEVERE STORMS, TORNADOES & FLOODING",25,90024,Severe Storm,1990-05-28,1990-05-28,1990-06-06,1990-06-06,40.010755456,-82.59557321329287
871,"SEVERE STORMS, TORNADOES & FLOODING",16,90026,Severe Storm,1990-05-15,1990-05-15,1990-06-22,1990-06-22,39.907690875,-89.1115103625
872,FIRES,4,90029,Fire,1990-06-26,1990-06-26,1990-06-30,1990-06-30,34.14161995,-118.15228275000001
873,"SEVERE STORMS, TORNADOES & FLOODING",23,90030,Severe Storm,1990-06-10,1990-06-10,1990-07-04,1990-07-04,41.11863527391304,-98.00101310386773
874,"SEVERE STORMS, TORNADOES & FLOODING",17,90033,Severe Storm,1990-06-22,1990-06-22,1990-07-13,1990-07-13,43.70417809705882,-88.97380227744858
875,SEVERE STORMS & FLOODING,5,90035,Flood,1990-07-04,1990-07-04,1990-07-25,1990-07-25,44.394779799999995,-72.58415396000001
876,SEVERE STORMS & FLOODING,8,90041,Flood,1990-08-07,1990-08-07,1990-08-29,1990-08-29,43.5033566875,-71.7763545375
877,SEVERE STORMS & FLOODING,1,90042,Flood,1990-08-17,1990-08-17,1990-08-30,1990-08-30,42.6136586,-89.58520522088759
878,TORNADOES,3,90043,Tornado,1990-08-28,1990-08-28,1990-08-29,1990-08-29,40.73160373333334,-88.92838373333332
879,SEVERE STORMS & FLOODING,17,90044,Flood,1990-07-25,1990-07-25,1990-09-06,1990-09-06,42.375131952941175,-92.17224008235293
880,SEVERE STORMS & FLOODING,9,90048,Flood,1990-10-11,1990-10-11,1990-10-19,1990-10-19,32.54623211111111,-82.51981472222222
881,SEVERE STORMS & FLOODING,13,90049,Flood,1990-10-11,1990-10-11,1990-10-22,1990-10-22,34.29449551538461,-80.95691067692307
882,TYPHOON MIKE,1,90051,Typhoon,1990-11-10,1990-11-10,1990-11-28,1990-11-28,27.293382,-82.434588
883,SEVERE STORMS & FLOODING,19,90052,Flood,1990-11-09,1990-11-09,1990-11-26,1990-11-26,47.4790104368421,-122.16102164343252
884,SEVERE STORMS & FLOODING,8,90054,Flood,1990-07-08,1990-07-08,1990-12-06,1990-12-06,33.49270948125,-111.47091585530941
885,SEVERE STORMS & FLOODING,1,90055,Flood,1990-11-27,1990-11-27,1990-12-06,1990-12-06,41.7299358,-84.8407696
886,TYPHOON OWEN,2,90056,Typhoon,1990-11-26,1990-11-26,1990-12-14,1990-12-14,39.845673000000005,-78.44750300000001
887,TYPHOON RUSS,1,90058,Typhoon,1990-12-21,1990-12-21,1990-12-24,1990-12-24,36.079347,-79.789037
888,"SEVERE STORMS, TORNADOES & FLOODING",12,91001,Severe Storm,1990-12-19,1990-12-19,1991-01-03,1991-01-03,32.73900135,-89.54614735
889,SEVERE STORMS & FLOODING,22,91002,Flood,1990-12-19,1990-12-19,1991-01-04,1991-01-04,35.762022154545456,-86.68595705909091
890,SEVERE STORMS & FLOODING,12,91003,Flood,1990-12-21,1990-12-21,1991-01-04,1991-01-04,33.92976755833333,-87.06071506666666
891,SEVERE STORMS & FLOODING,73,91004,Flood,1990-12-28,1990-12-28,1991-01-05,1991-01-05,40.04058997534247,-86.22529031780823
893,SEVERE STORMS & FLOODING,19,91006,Flood,1990-12-06,1990-12-06,1991-01-29,1991-01-29,37.48849314210526,-85.05707086842105
894,SEVERE FREEZE,33,91007,Freezing,1990-12-19,1990-12-19,1991-02-11,1991-02-11,36.9513913060606,-120.66155700586044
895,SEVERE STORMS & FLOODING,18,91008,Flood,1991-02-17,1991-02-17,1991-03-05,1991-03-05,33.29459118333333,-89.7224221
896,SEVERE STORMS & HIGH TIDES,10,91009,Flood,1990-12-20,1990-12-20,1991-03-08,1991-03-08,47.76821976,-122.08489935252177
897,SEVERE STORMS & FLOODING,15,91010,Flood,1991-03-01,1991-03-01,1991-03-15,1991-03-15,32.01491988,-82.70802526000001
898,SEVERE WINTER STORM,13,91011,Snowstorm,1990-03-03,1990-03-03,1991-03-21,1991-03-21,42.914786423076926,-76.24221837692308
899,SEVERE ICE STORM,26,91012,Severe Ice Storm,1991-03-12,1991-03-12,1991-03-29,1991-03-29,40.15876693846154,-86.14568106923078
900,"SEVERE STORMS, TORNADOES & FLOODING",5,91017,Severe Storm,1991-04-05,1991-04-05,1991-04-12,1991-04-12,29.52686744,-96.61538116
901,"SEVERE STORMS, ICE JAMS & FLOODING",1,91018,Snowstorm,1991-04-06,1991-04-06,1991-04-19,1991-04-19,46.6847962,-68.4701132
902,SEVERE STORMS & FLOODING,15,91020,Flood,1991-04-12,1991-04-12,1991-04-23,1991-04-23,31.657887173333332,-92.50911033333334
903,SEVERE STORMS & TORNADOES,6,91022,Tornado,1991-04-26,1991-04-26,1991-04-29,1991-04-29,38.523665216666664,-96.65402113333334
904,"SEVERE STORMS, TORNADOES & FLOODING",38,91024,Severe Storm,1991-04-27,1991-04-27,1991-05-03,1991-05-03,31.340092905263155,-91.87311581578948
905,SEVERE STORMS & TORNADOES,6,91023,Tornado,1991-04-26,1991-04-26,1991-05-08,1991-05-08,36.02048,-96.84653028333334
906,"SEVERE STORMS, TORNADOES & FLOODING",42,91025,Severe Storm,1991-04-26,1991-04-26,1991-05-17,1991-05-17,33.19118639761905,-89.78103990476191
907,SEVERE STORMS & FLOODING,21,91026,Flood,1991-04-12,1991-04-12,1991-05-30,1991-05-30,34.403732166666664,-92.5756018904762
908,SEVERE STORMS & FLOODING,7,91027,Flood,1991-05-10,1991-05-10,1991-05-28,1991-05-28,42.012030485714284,-98.87560667142859
909,"HEAVY SNOW, ICE JAMS & FLOODING",4,91028,Snowstorm,1991-04-15,1991-04-15,1991-05-30,1991-05-30,64.288406725,-152.662253625
910,SEVERE STORMS & FLOODING,9,91030,Flood,1991-05-24,1991-05-24,1991-06-21,1991-06-21,35.680156233333335,-86.95101122222222
911,SEVERE STORMS & FLOODING,16,91031,Flood,1991-06-01,1991-06-01,1991-07-12,1991-07-12,42.22195315,-92.85071856249999
912,SEVERE STORMS & HAIL,5,91037,Severe Storm,1991-07-07,1991-07-07,1991-08-06,1991-08-06,43.603878480000006,-88.28596014
913,HURRICANE BOB,5,91038,Hurricane,1991-08-19,1991-08-19,1991-08-26,1991-08-26,41.67034858,-71.43245116
914,HURRICANE BOB,11,91039,Hurricane,1991-08-19,1991-08-19,1991-08-26,1991-08-26,41.99863060909091,-71.04450766363635
915,HURRICANE BOB & FLOODING,9,91040,Hurricane,1991-08-18,1991-08-18,1991-08-28,1991-08-28,44.260385988888885,-69.43440051111111
916,HURRICANE BOB,6,91041,Hurricane,1991-08-19,1991-08-19,1991-08-30,1991-08-30,41.516427766666666,-72.77408058333333
917,HURRICANE BOB & SEVERE STORMS,4,91042,Hurricane,1991-08-18,1991-08-18,1991-09-09,1991-09-09,43.437601550000004,-71.4179035
918,HURRICANE BOB,1,91043,Hurricane,1991-08-19,1991-08-19,1991-09-16,1991-09-16,40.9914896,-72.475919
919,OAKLAND HILLS FIRE,1,91047,Fire,1991-10-20,1991-10-20,1991-10-22,1991-10-22,37.7652076,-122.241635
920,COASTAL STORM,7,91048,Coastal Storm,1991-10-30,1991-10-30,1991-11-04,1991-11-04,41.91860704285715,-70.68450485714285
921,COASTAL STORM,5,91049,Coastal Storm,1991-10-30,1991-10-30,1991-11-07,1991-11-07,44.163257279999996,-69.70476904
922,FIRES,6,91051,Fire,1991-10-16,1991-10-16,1991-11-13,1991-11-13,47.79529525,-117.69281313333333
923,COASTAL STORM,1,91052,Coastal Storm,1991-10-30,1991-10-30,1991-11-13,1991-11-13,43.0099979,-71.0510355
924,TYPHOON YURI,1,91054,Typhoon,1991-11-27,1991-11-27,1991-12-04,1991-12-04,36.079347,-79.789037
925,TYPHOON ZELDA,6,91055,Typhoon,1991-11-28,1991-11-28,1991-12-06,1991-12-06,33.09046958333334,-101.20048129570431
926,TYPHOON YURI,1,91056,Typhoon,1991-11-25,1991-11-25,1991-12-10,1991-12-10,37.823419,-81.152331
927,HURRICANE VAL,5,91058,Hurricane,1991-12-06,1991-12-06,1991-12-13,1991-12-13,40.2624842,-89.15367572
928,ICE STORM,44,91061,Severe Ice Storm,1991-10-31,1991-10-31,1991-12-26,1991-12-26,42.141225448863636,-94.19031062210698
929,ICE STORM,12,91062,Severe Ice Storm,1991-10-31,1991-10-31,1991-12-26,1991-12-26,44.111072416666666,-93.25520973333333
930,SEVERE THUNDERSTORMS,65,91063,Flood,1991-12-20,1991-12-20,1991-12-26,1991-12-26,30.98774982846154,-97.22849302665682
931,SEVERE STORMS & FLOODING,35,92001,Flood,1992-01-05,1992-01-05,1992-01-22,1992-01-22,18.183388708571428,-66.21060112571429
932,TROPICAL STORM AXEL,4,92002,Flood,1992-01-06,1992-01-06,1992-02-07,1992-02-07,36.71143355,-124.45155585
933,SEVERE COASTAL STORM,2,92003,Flood,1992-01-04,1992-01-04,1992-02-06,1992-02-06,38.90323455,-75.42662905
935,"RAIN/SNOW/WIND STORMS, FLOODING, MUDSLIDES",5,92005,Flood,1992-02-10,1992-02-10,1992-02-25,1992-02-25,34.32143782,-118.28639204632744
936,SEVERE COASTAL STORM,5,92006,Severe Storm,1992-01-04,1992-01-04,1992-03-03,1992-03-03,39.4551115,-74.56824238
937,SEVERE STORMS & FLOODING,3,92007,Flood,1992-03-04,1992-03-04,1992-03-20,1992-03-20,32.7025432,-95.29929996666668
938,"HEAVY RAINS, ICE JAMS & FLOODING",5,92008,Flood,1992-03-11,1992-03-11,1992-03-18,1992-03-18,44.00232154,-72.42456292
939,SEVERE STORMS & TORNADOES,4,92009,Tornado,1992-03-09,1992-03-09,1992-03-20,1992-03-20,33.006482825,-89.94374110000001
940,"HEAVY RAINS, ICE JAMS & FLOODING",10,92010,Flood,1992-03-10,1992-03-10,1992-03-27,1992-03-27,44.494687469999995,-69.47054413999999
941,FLOODING,1,92012,Flood,1992-04-14,1992-04-14,1992-04-15,1992-04-15,41.3333679,-89.0917497
942,FIRE DURING A PERIOD OF CIVIL UNREST,1,92013,Fire,1992-04-29,1992-04-29,1992-05-02,1992-05-02,34.0536909,-118.242766
944,SEVERE STORMS & FLOODING,21,92015,Flood,1992-04-21,1992-04-21,1992-05-19,1992-05-19,37.392449316666664,-79.3374843517054
945,"THUNDERSTORMS, HAIL & FLOODING",1,92020,Flood,1992-05-22,1992-05-22,1992-06-18,1992-06-18,32.7448727,-103.3828242
946,"SEVERE STORMS, TORNADOES & FLOODING",10,92021,Severe Storm,1992-06-16,1992-06-16,1992-06-26,1992-06-26,44.626645759999995,-95.39939534999999
948,"SEVERE STORMS, TORNADOES & FLOODING",8,92024,Severe Storm,1992-06-13,1992-06-13,1992-07-02,1992-07-02,44.656467525,-98.681933225
949,SEVERE STORMS & TORNADOES,3,92025,Tornado,1992-06-27,1992-06-27,1992-07-02,1992-07-02,32.85776693333333,-98.78724136666666
950,SEVERE THUNDERSTORMS,5,92027,Severe Storm,1992-06-14,1992-06-14,1992-07-24,1992-07-24,33.8204315,-93.35519574
951,"SEVERE STORMS, TORNADOES & FLOODING",24,92029,Severe Storm,1992-07-12,1992-07-12,1992-08-04,1992-08-04,40.5934484375,-82.65839042244212
952,SEVERE STORMS & FLOODING,4,92033,Flood,1992-06-23,1992-06-23,1992-08-14,1992-08-14,27.237388425,-82.16277855
953,SEVERE STORMS & FLASH FLOODING,6,92034,Flood,1992-08-08,1992-08-08,1992-08-17,1992-08-17,39.67481743333334,-86.07498501666667
954,SEVERE STORMS & FLOODING,8,92035,Flood,1992-07-11,1992-07-11,1992-08-19,1992-08-19,40.2787492,-96.584160275
955,HURRICANE ANDREW,4,92036,Hurricane,1992-08-24,1992-08-24,1992-08-24,1992-08-24,26.413252425,-81.21787295
956,HURRICANE ANDREW,36,92037,Hurricane,1992-08-25,1992-08-25,1992-08-26,1992-08-26,30.351020591666668,-91.37288324444444
957,TYPHOON OMAR,1,92038,Typhoon,1992-08-28,1992-08-28,1992-08-28,1992-08-28,36.079347,-79.789037
958,OLD GULCH & FOUNTAIN FIRES,2,92039,Fire,1992-08-16,1992-08-16,1992-08-29,1992-08-29,39.4275673,-121.49505314999999
959,SEVERE STORMS & TORNADOES,1,92040,Tornado,1992-08-29,1992-08-29,1992-09-02,1992-09-02,44.1103406,-89.2347222
960,EXCESSIVE RAIN & HAIL,26,92041,Severe Storm,1992-05-01,1992-05-01,1992-09-09,1992-09-09,32.778649438461535,-99.57066291923077
961,HURRICANE INIKI,6,92042,Hurricane,1992-09-11,1992-09-11,1992-09-12,1992-09-12,21.137461,-157.7291257
962,"SEVERE STORMS, TORNADOES & FLOODING",15,92044,Severe Storm,1992-06-16,1992-06-16,1992-09-18,1992-09-18,40.05178444,-85.70838224666666
963,SEVERE STORMS & TORNADOES,1,92045,Tornado,1992-06-17,1992-06-17,1992-09-18,1992-09-18,43.2505472,-89.5015088
964,SEVERE STORMS & FLOODING,10,92046,Flood,1992-09-14,1992-09-14,1992-09-30,1992-09-30,43.66699829,-89.74812666757389
965,SEVERE STORMS & FLOODING,9,92047,Flood,1992-09-14,1992-09-14,1992-10-02,1992-10-02,41.202626716666664,-93.46243921918969
966,"SEVERE STORMS, TORNADOES & FLOODING",7,92048,Severe Storm,1992-10-03,1992-10-03,1992-10-08,1992-10-08,29.66156667142857,-82.77712562857143
967,"WIND STORMS, TORNADOES & HAIL",1,92049,Tornado,1992-10-10,1992-10-10,1992-10-17,1992-10-17,33.4466925,-88.4108384
968,"SEVERE STORMS, HIGH WINDS & TORNADOES",21,92050,Tornado,1992-11-21,1992-11-21,1992-11-25,1992-11-25,32.38525499523809,-89.66714963333334
969,"HIGH WINDS, HEAVY RAINS & TORNADOES",14,92051,Tornado,1992-11-22,1992-11-22,1992-12-01,1992-12-01,33.10587792142857,-83.96723664411657
970,SEVERE THUNDERSTORMS & TORNADOES,1,92052,Tornado,1992-11-21,1992-11-21,1992-12-04,1992-12-04,32.8717902,-96.1485854
971,TYPHOON GAY,4,92053,Typhoon,1992-11-17,1992-11-17,1992-12-16,1992-12-16,35.58259825,-117.1818665
972,WINTER STORM & COASTAL FLOODING,3,92054,Flood,1992-12-10,1992-12-10,1992-12-17,1992-12-17,41.1834012,-73.5306782
973,"COASTAL STORM, HIGH TIDES, HEAVY RAIN, & FLOODING",12,92055,Flood,1992-12-10,1992-12-10,1992-12-18,1992-12-18,40.069208808333336,-74.51792278333333
974,"COASTAL STORM, HIGH TIDES, HEAVY RAIN, & FLOODING",5,92056,Flood,1992-12-10,1992-12-10,1992-12-21,1992-12-21,41.400856770000004,-73.77023847273976
975,WINTER COASTAL STORM,9,92057,Coastal Storm,1992-12-11,1992-12-11,1992-12-21,1992-12-21,42.01980704444444,-70.88780531111111
976,SEVERE COASTAL STORM & FLOODING,1,93001,Coastal Storm,1992-12-11,1992-12-11,1993-01-15,1993-01-15,38.6908097,-75.3691421
977,"SEVERE STORMS, TORNADOES & FLOODING",13,93002,Flood,1993-01-05,1993-01-05,1993-01-19,1993-01-19,33.32098790384615,-111.1747390165364
978,SEVERE STORMS & FLOODING,9,93003,Flood,1993-01-20,1993-01-20,1993-02-02,1993-02-02,30.324305144444445,-91.08283862222223
979,"SEVERE WINTER STORM, MUD & LAND SLIDES, & FLOODING",27,93004,Flood,1993-01-05,1993-01-05,1993-02-03,1993-02-03,37.4252431,-120.43440502568129
980,"TORNADOES, HIGH WINDS & HEAVY RAINS",8,93005,Tornado,1993-02-21,1993-02-21,1993-03-04,1993-03-04,33.0998913125,-84.11056611470399
981,SEVERE STORMS & HIGH WIND,7,93006,Severe Storm,1993-01-20,1993-01-20,1993-03-04,1993-03-04,47.0212336,-122.17792925714285
982,"TORNADOES, FLOODING, HIGH WINDS & TIDES, FREEZING",38,93007,Tornado,1993-03-12,1993-03-12,1993-03-13,1993-03-13,28.716539415789473,-82.5621454628502
983,ICE JAMS & FLOODING,13,93037,Flood,1993-03-07,1993-03-07,1993-04-02,1993-04-02,41.41651136923077,-97.2418826991506
986,SEVERE STORMS & FLOODING,15,93045,Flood,1993-03-26,1993-03-26,1993-04-26,1993-04-26,41.99451173333333,-92.21137338
987,SEVERE STORMS & TORNADOES,4,93046,Tornado,1993-04-24,1993-04-24,1993-04-26,1993-04-26,36.334363100000004,-95.45043022499999
988,"HEAVY RAIN, SNOWMELT, ICE JAMS & FLOODING",12,93047,Flood,1993-04-09,1993-04-09,1993-05-11,1993-05-11,44.860031066666664,-69.0624876
989,SEVERE STORMS & FLOODING,8,93048,Flood,1993-04-15,1993-04-15,1993-05-11,1993-05-11,38.7071466375,-91.215747525
990,"HEAVY RAIN, SNOWMELT & FLOODING",4,93049,Flood,1993-04-24,1993-04-24,1993-05-12,1993-05-12,44.3752813,-73.1146182
991,"SEVERE STORMS, TORNADOES & FLOODING",44,93050,Severe Storm,1993-05-08,1993-05-08,1993-05-12,1993-05-12,35.501700294318184,-97.07394679436639
992,SEVERE STORMS & FLOODING,4,93053,Flood,1993-01-05,1993-01-05,1993-06-07,1993-06-07,33.525726075,-108.41372615
993,"SEVERE STORMS, TORNADOES & FLOODING",57,93051,Severe Storm,1993-05-06,1993-05-06,1993-06-11,1993-06-11,44.94539114561403,-94.5303974263158
994,"SEVERE STORMS, TORNADOES & FLOODING",47,93052,Severe Storm,1993-06-07,1993-06-07,1993-07-02,1993-07-02,43.950679613829784,-89.57979350699186
995,SEVERE STORMS & FLOODING,102,93030,Flood,1993-06-10,1993-06-10,1993-07-09,1993-07-09,38.53322905,-92.65014664313725
996,SEVERE STORMS & FLOODING,99,93031,Flood,1993-04-13,1993-04-13,1993-07-09,1993-07-09,42.01631890050505,-93.25853835831018
997,SEVERE STORMS & FLOODING,39,93032,Flood,1993-04-13,1993-04-13,1993-07-09,1993-07-09,40.45433633589744,-89.75320883846153
998,SEVERE STORMS AND FLOODING,52,93033,Flood,1993-06-23,1993-06-23,1993-07-19,1993-07-19,40.85628825,-97.85291727286457
999,"SEVERE STORMS, TORNADOES & FLOODING",39,93034,Severe Storm,1993-05-06,1993-05-06,1993-07-19,1993-07-19,44.292246715384614,-97.92973812564102
1000,SEVERE STORMS & FLOODING,57,93035,Flood,1993-06-28,1993-06-28,1993-07-22,1993-07-22,38.8724166122807,-97.32934813762112
1001,SEVERE STORMS & FLOODING,39,93036,Flood,1993-06-22,1993-06-22,1993-07-26,1993-07-26,47.35375976666667,-99.66530021794873
1002,SEVERE STORMS AND FLOODING,6,93039,Severe Storm,1993-08-16,1993-08-16,1993-09-09,1993-09-09,39.930361983333334,-87.19950311666666
1003,HURRICANE EMILY,1,93040,Hurricane,1993-08-31,1993-08-31,1993-09-10,1993-09-10,35.6333866,-75.6869011
1005,"FIRES, MUD/LANDSLIDES, FLOODING, SOIL EROSION",6,93103,Fire,1993-10-26,1993-10-26,1993-10-28,1993-10-28,33.832089016666664,-117.86919137193952
1006,"SEVERE STORMS, TORNADOES, AND FLOODING",24,93124,Severe Storm,1993-11-13,1993-11-13,1993-12-01,1993-12-01,37.63764811666667,-91.28596832916666
1009,"SEVERE WINTER STORM, FREEEZING RAIN AND SLEET",26,94005,Severe Storm,1994-02-09,1994-02-09,1994-02-18,1994-02-18,33.62563770769231,-89.71534144615384
1010,"SEVERE WINTER ICE STORM,FLASH FLOODING",71,94008,Severe Storm,1994-02-09,1994-02-09,1994-02-28,1994-02-28,35.73426209859155,-86.93470264225351
1011,SEVERE WINTER ICE STORM,17,94009,Snowstorm,1994-02-09,1994-02-09,1994-02-28,1994-02-28,34.03831961764706,-92.07454784117647
1012,SEVERE WINTER ICE STORM,8,94010,Severe Storm,1994-02-10,1994-02-10,1994-02-28,1994-02-28,32.548637825,-93.111217425
1013,"SEVERE WINTER STORMS, FREEZING, FLOODING",10,94011,Severe Storm,1994-01-16,1994-01-16,1994-03-03,1994-03-03,34.23828229,-86.76992295
1014,"SEVERE ICE STORMS, FLOODING",62,94012,Snowstorm,1994-02-08,1994-02-08,1994-03-10,1994-03-10,37.33388726129032,-78.80095908548388
1015,SEVERE WINTER STORMS,44,94013,Severe Storm,1994-01-04,1994-01-04,1994-03-10,1994-03-10,40.68133598181818,-77.50632536633053
1016,SEVERE WINTER WEATHER AND ICE STORMS,9,94014,Snowstorm,1994-02-08,1994-02-08,1994-03-16,1994-03-16,38.96269847777778,-76.52318752222223
1017,SEVERE ICE STORMS AND FLOODING,2,94015,Severe Storm,1994-02-08,1994-02-08,1994-03-16,1994-03-16,38.90323455,-75.42662905
1018,"SEVERE WEATHER, FREEZING RAIN, SLEET, SNW",68,94016,Snowstorm,1994-02-09,1994-02-09,1994-03-16,1994-03-16,37.465311998529415,-84.96162370147059
1019,"SEVERE STORMS, TORNADO, AND FLOODING",7,94017,Severe Storm,1994-03-27,1994-03-27,1994-03-30,1994-03-30,33.5483746,-86.21136324285715
1020,"TORNADOES, FLOODING, AND SEVERE STORMS",12,94018,Tornado,1994-03-27,1994-03-27,1994-03-31,1994-03-31,33.68592448333333,-84.10273136666666
1021,SEVERE WINTER ICE STORM,31,94019,Severe Storm,1994-03-01,1994-03-01,1994-04-11,1994-04-11,37.589514890322576,-78.52709412196005
1022,EXTENSIVE RAINFALL AND FLASH FLOODING,17,94020,Flood,1994-03-25,1994-03-25,1994-04-14,1994-04-14,35.991088644117646,-84.54131420786985
1023,"SEVERE STORMS, TORNADOES, FLOODING",17,94024,Severe Storm,1994-04-09,1994-04-09,1994-04-21,1994-04-21,38.08556074705882,-92.0523961235294
1024,SEVERE STORMS AND FLOODING,1,94025,Severe Storm,1994-04-11,1994-04-11,1994-04-21,1994-04-21,36.8567358,-94.7877298
1025,SEVERE STORMS AND FLOODING,16,94026,Severe Storm,1994-04-09,1994-04-09,1994-04-26,1994-04-26,39.90821915,-89.37068758125
1026,SEVERE STORMS AND TORNADOES,3,94027,Severe Storm,1994-04-25,1994-04-25,1994-04-29,1994-04-29,31.499404799999997,-97.00264373333333
1027,SEVERE SNOW AND ICE STORM,15,94031,Snowstorm,1994-04-10,1994-04-10,1994-05-09,1994-05-09,40.69313248666666,-99.15029585333333
1028,SEVERE DEEP FREEZE,10,94030,Freezing,1994-01-10,1994-01-10,1994-05-10,1994-05-10,45.843867720000006,-86.68843111
1029,FLOODING AND ICE JAMS,1,94034,Flood,1994-04-15,1994-04-15,1994-05-13,1994-05-13,46.6847962,-68.4701132
1030,SEVERE WINTER ICE STORM,1,94035,Severe Storm,1994-01-17,1994-01-17,1994-06-17,1994-06-17,38.88905915,-77.04016998008728
1031,SEVERE STORMS AND FLOODING,21,94051,Severe Storm,1994-03-01,1994-03-01,1994-06-21,1994-06-21,44.9496427,-98.41258901428571
1032,"SEVERE STORMS, FLOODING",25,94050,Severe Storm,1994-03-05,1994-03-05,1994-07-01,1994-07-01,47.446752236,-99.60710378
1033,"TORNADOES, FLOODING TORRENTIAL RAIN(TROP STORM ALBERTO)",55,94055,Tornado,1994-07-03,1994-07-03,1994-07-07,1994-07-07,32.81217777818182,-83.88698480869206
1034,SEVERE STORMS AND FLOODING (TROPICAL STORM ALBERTO),10,94056,Severe Storm,1994-07-02,1994-07-02,1994-07-08,1994-07-08,31.75226391,-85.9556916
1035,SEVERE STORMS AND FLOODING (TROPICAL STORM ALBERTO),12,94064,Severe Storm,1994-07-02,1994-07-02,1994-07-10,1994-07-10,30.491964516666666,-85.726303225
1039,SEVERE STORMS AND FLOODING,3,94090,Severe Storm,1994-08-08,1994-08-08,1994-09-13,1994-09-13,64.33616083333334,-155.7504868
1040,HIGH SURF AND WAVE ACTION,1,94004,Coastal Storm,1994-06-09,1994-06-09,1994-10-06,1994-10-06,29.294396,-94.918718
1041,SEVERE THUNDERSTORMS AND FLOODING,38,95005,Flood,1994-10-14,1994-10-14,1994-10-18,1994-10-18,30.723050684210527,-95.99211319736843
1042,"HEAVY RAINS, TORNADOS, FLOODING, HIGH WINDS",13,95006,Severe Storm,1994-10-01,1994-10-01,1994-10-19,1994-10-19,32.334734869230765,-83.34108194668607
1043,TROPICAL STORM GORDON TORNADOES FLOODING RAINFALL,2,95007,Severe Storm,1994-11-14,1994-11-14,1994-11-28,1994-11-28,28.68930565,-81.16031154999999
1044,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, MUD FLOWS",42,95009,Severe Storm,1995-01-03,1995-01-03,1995-01-10,1995-01-10,37.90222296190476,-121.12593070222367
1045,SEVERE WINTER STORMS,21,95013,Snowstorm,1995-01-13,1995-01-13,1995-03-14,1995-03-14,44.79415051428572,-100.03549330952382
1046,"SEVERE WINTER STORMS, FLOODING LANDSLIDES, MUD FLOW",57,95017,Severe Storm,1995-02-13,1995-02-13,1995-03-12,1995-03-12,37.6265904122807,-120.6887501139192
1047,"SEVERE STORMS, FLOODING AND TORNADOES",5,95016,Severe Storm,1995-02-15,1995-02-15,1995-04-21,1995-04-21,33.92707748,-86.68700198
1049,SEVERE STORMS AND FLOODING,12,95024,Severe Storm,1995-05-08,1995-05-08,1995-05-10,1995-05-10,30.1189025,-90.689060725
1050,"SEVERE STORMS, FLOODING, AND GROUND SATURATION",32,95004,Severe Storm,1995-03-01,1995-03-01,1995-05-16,1995-05-16,47.5139756875,-99.2745774625
1051,"SEVERE STORMS, TORNADOES, FLOODING",4,95023,Severe Storm,1995-05-08,1995-05-08,1995-05-12,1995-05-12,32.2488647,-89.33778649999999
1052,FLOODING,53,95029,Flood,1995-03-01,1995-03-01,1995-05-26,1995-05-26,44.342327803773586,-98.93126276037735
1053,SEVERE STORMS AND FLOODING,19,95025,Severe Storm,1995-05-15,1995-05-15,1995-05-30,1995-05-30,39.60997943157895,-89.87300138947369
1054,"SEVERE STORMS, TORNADOES, HAIL, FLOODING",61,95028,Severe Storm,1995-05-13,1995-05-13,1995-06-02,1995-06-02,38.523975322950825,-92.48225561147541
